length,prefix,ppl,tokens
512,punctuation,13.242934244901582,512
512,random_words,13.242934244901582,512
512,instruction,13.242934244901582,512
512,baseline,14.211148280339309,512
512,whitespace,14.211148280339309,512
512,punctuation,14.211148280339309,512
512,random_words,14.211148280339309,512
512,instruction,14.211148280339309,512
512,baseline,7.576115279723542,512
512,whitespace,7.576115279723542,512
512,punctuation,7.576115279723542,512
512,random_words,7.576115279723542,512
512,instruction,7.576115279723542,512
512,baseline,20.46754685236909,512
512,whitespace,20.46754685236909,512
512,punctuation,20.46754685236909,512
512,random_words,20.46754685236909,512
512,instruction,20.46754685236909,512
512,baseline,11.325577954048349,512
512,whitespace,11.325577954048349,512
512,punctuation,11.325577954048349,512
512,random_words,11.325577954048349,512
512,instruction,11.325577954048349,512
1024,baseline,7.573503839419106,1024
