length,intervention,ppl,tokens,loss_start,loss_tokens,prefix_len
256,prefix:whitespace:plen256,56.433741118627054,128,384,128,256.0
256,prefix:punctuation:plen256,22.17869317254814,128,384,128,256.0
256,prefix:random_words:plen256,22.539056161261,128,384,128,256.0
256,prefix:instruction:plen256,23.757016359669215,128,384,128,256.0
256,sinkpos0:eos,22.453893378635435,128,128,128,
256,sinkpos1:eos,22.652419693292597,128,128,128,
256,sinkpos0:exclamation,22.694573976193432,128,128,128,
256,sinkpos1:exclamation,22.688752693421762,128,128,128,
256,baseline,6.315285684736582,128,128,128,
256,prefix:whitespace:plen10,6.552095627940538,128,138,128,10.0
256,prefix:punctuation:plen10,6.286412691866652,128,138,128,10.0
256,prefix:random_words:plen10,6.297277110701112,128,138,128,10.0
256,prefix:instruction:plen10,6.409130368011108,128,138,128,10.0
256,prefix:whitespace:plen32,6.92644684558928,128,160,128,32.0
256,prefix:punctuation:plen32,6.28677616078735,128,160,128,32.0
256,prefix:random_words:plen32,6.311087735068379,128,160,128,32.0
256,prefix:instruction:plen32,6.202763519433303,128,160,128,32.0
256,prefix:whitespace:plen64,7.277045044040851,128,192,128,64.0
256,prefix:punctuation:plen64,6.288186019476776,128,192,128,64.0
256,prefix:random_words:plen64,6.298828986242957,128,192,128,64.0
256,prefix:instruction:plen64,6.22353174431463,128,192,128,64.0
256,prefix:whitespace:plen128,8.38349431738401,128,256,128,128.0
256,prefix:punctuation:plen128,6.261052618903693,128,256,128,128.0
256,prefix:random_words:plen128,6.312892857517491,128,256,128,128.0
256,prefix:instruction:plen128,6.263997763249866,128,256,128,128.0
256,prefix:whitespace:plen256,11.433285949393936,128,384,128,256.0
256,prefix:punctuation:plen256,6.22586620823878,128,384,128,256.0
256,prefix:random_words:plen256,6.304236883812501,128,384,128,256.0
256,prefix:instruction:plen256,6.286024515278163,128,384,128,256.0
256,sinkpos0:eos,6.256023321767896,128,128,128,
256,sinkpos1:eos,6.248021046178807,128,128,128,
256,sinkpos0:exclamation,6.24220743638939,128,128,128,
256,sinkpos1:exclamation,6.2735287594811915,128,128,128,
256,baseline,12.468557167102833,128,128,128,
256,prefix:whitespace:plen10,12.70919787572419,128,138,128,10.0
256,prefix:punctuation:plen10,12.603642420771656,128,138,128,10.0
256,prefix:random_words:plen10,12.388382734037318,128,138,128,10.0
256,prefix:instruction:plen10,12.490473577216465,128,138,128,10.0
256,prefix:whitespace:plen32,12.815371532661178,128,160,128,32.0
256,prefix:punctuation:plen32,12.592153754989068,128,160,128,32.0
256,prefix:random_words:plen32,12.391998493220118,128,160,128,32.0
256,prefix:instruction:plen32,12.444204547336694,128,160,128,32.0
256,prefix:whitespace:plen64,13.403325574849342,128,192,128,64.0
256,prefix:punctuation:plen64,12.55989144663661,128,192,128,64.0
256,prefix:random_words:plen64,12.378317932115104,128,192,128,64.0
256,prefix:instruction:plen64,12.596994236993147,128,192,128,64.0
256,prefix:whitespace:plen128,14.92441762106319,128,256,128,128.0
256,prefix:punctuation:plen128,12.54943298028865,128,256,128,128.0
256,prefix:random_words:plen128,12.424940365326945,128,256,128,128.0
256,prefix:instruction:plen128,12.608592532927949,128,256,128,128.0
256,prefix:whitespace:plen256,19.820977123498352,128,384,128,256.0
256,prefix:punctuation:plen256,12.553616518591372,128,384,128,256.0
256,prefix:random_words:plen256,12.444809815687421,128,384,128,256.0
256,prefix:instruction:plen256,12.64567638055624,128,384,128,256.0
256,sinkpos0:eos,12.387443518288476,128,128,128,
256,sinkpos1:eos,12.389333836381326,128,128,128,
256,sinkpos0:exclamation,12.472333113054033,128,128,128,
256,sinkpos1:exclamation,12.422197544395159,128,128,128,
256,baseline,20.01600019263065,128,128,128,
256,prefix:whitespace:plen10,21.0087755387132,128,138,128,10.0
256,prefix:punctuation:plen10,20.201114608523643,128,138,128,10.0
256,prefix:random_words:plen10,19.827561101822315,128,138,128,10.0
256,prefix:instruction:plen10,19.897325528552653,128,138,128,10.0
256,prefix:whitespace:plen32,22.32645939962239,128,160,128,32.0
256,prefix:punctuation:plen32,20.3163401375594,128,160,128,32.0
256,prefix:random_words:plen32,19.861754452202202,128,160,128,32.0
256,prefix:instruction:plen32,19.632052324637794,128,160,128,32.0
256,prefix:whitespace:plen64,23.14722790899031,128,192,128,64.0
256,prefix:punctuation:plen64,20.284705761236797,128,192,128,64.0
256,prefix:random_words:plen64,19.85741728909118,128,192,128,64.0
256,prefix:instruction:plen64,19.84356933217834,128,192,128,64.0
256,prefix:whitespace:plen128,25.551486028205165,128,256,128,128.0
256,prefix:punctuation:plen128,20.281204617895547,128,256,128,128.0
256,prefix:random_words:plen128,19.834029046783183,128,256,128,128.0
256,prefix:instruction:plen128,19.763586537845605,128,256,128,128.0
256,prefix:whitespace:plen256,34.10921151064445,128,384,128,256.0
256,prefix:punctuation:plen256,20.387906996131417,128,384,128,256.0
256,prefix:random_words:plen256,19.86736670732974,128,384,128,256.0
256,prefix:instruction:plen256,19.872923691317283,128,384,128,256.0
256,sinkpos0:eos,20.15664156281238,128,128,128,
256,sinkpos1:eos,20.272642903855033,128,128,128,
256,sinkpos0:exclamation,20.083147471506376,128,128,128,
256,sinkpos1:exclamation,19.915275019704406,128,128,128,
256,baseline,13.017131508938743,128,128,128,
256,prefix:whitespace:plen10,13.50133980278768,128,138,128,10.0
256,prefix:punctuation:plen10,13.043158835512124,128,138,128,10.0
256,prefix:random_words:plen10,12.986455218560055,128,138,128,10.0
256,prefix:instruction:plen10,13.057496352178488,128,138,128,10.0
256,prefix:whitespace:plen32,13.87595147816948,128,160,128,32.0
256,prefix:punctuation:plen32,13.017721192234514,128,160,128,32.0
256,prefix:random_words:plen32,13.084552711103322,128,160,128,32.0
256,prefix:instruction:plen32,12.84231503483617,128,160,128,32.0
256,prefix:whitespace:plen64,14.83364960511022,128,192,128,64.0
256,prefix:punctuation:plen64,13.011291983216434,128,192,128,64.0
256,prefix:random_words:plen64,13.03897691733369,128,192,128,64.0
256,prefix:instruction:plen64,12.955672064337628,128,192,128,64.0
256,prefix:whitespace:plen128,16.544494701346867,128,256,128,128.0
256,prefix:punctuation:plen128,13.008211929021009,128,256,128,128.0
256,prefix:random_words:plen128,13.012433618516987,128,256,128,128.0
256,prefix:instruction:plen128,12.802658118387658,128,256,128,128.0
256,prefix:whitespace:plen256,21.948370580226598,128,384,128,256.0
256,prefix:punctuation:plen256,12.995239045641497,128,384,128,256.0
256,prefix:random_words:plen256,12.937880028903793,128,384,128,256.0
256,prefix:instruction:plen256,12.807255845449786,128,384,128,256.0
256,sinkpos0:eos,13.01774912526379,128,128,128,
256,sinkpos1:eos,13.003752881103814,128,128,128,
256,sinkpos0:exclamation,13.061332315986526,128,128,128,
256,sinkpos1:exclamation,13.04232234459074,128,128,128,
256,baseline,11.365023916207477,128,128,128,
256,prefix:whitespace:plen10,12.272636887422467,128,138,128,10.0
256,prefix:punctuation:plen10,11.266927474079678,128,138,128,10.0
256,prefix:random_words:plen10,11.430609421279684,128,138,128,10.0
256,prefix:instruction:plen10,11.439731811753452,128,138,128,10.0
256,prefix:whitespace:plen32,13.45690117618763,128,160,128,32.0
256,prefix:punctuation:plen32,11.259931978880877,128,160,128,32.0
256,prefix:random_words:plen32,11.558273762499164,128,160,128,32.0
256,prefix:instruction:plen32,11.56733256444861,128,160,128,32.0
256,prefix:whitespace:plen64,15.481591608962061,128,192,128,64.0
256,prefix:punctuation:plen64,11.255425476173608,128,192,128,64.0
256,prefix:random_words:plen64,11.62461417390831,128,192,128,64.0
256,prefix:instruction:plen64,11.665301898594846,128,192,128,64.0
256,prefix:whitespace:plen128,18.28495475273153,128,256,128,128.0
256,prefix:punctuation:plen128,11.281359157428549,128,256,128,128.0
256,prefix:random_words:plen128,11.67033421922334,128,256,128,128.0
256,prefix:instruction:plen128,11.733529403278094,128,256,128,128.0
256,prefix:whitespace:plen256,25.152318398737005,128,384,128,256.0
256,prefix:punctuation:plen256,11.335624556132249,128,384,128,256.0
256,prefix:random_words:plen256,11.751584302070345,128,384,128,256.0
256,prefix:instruction:plen256,11.785903083470762,128,384,128,256.0
256,sinkpos0:eos,11.508656585338393,128,128,128,
256,sinkpos1:eos,11.503257900970475,128,128,128,
256,sinkpos0:exclamation,11.406021269265363,128,128,128,
256,sinkpos1:exclamation,11.42303023493641,128,128,128,
256,baseline,9.29598464331745,128,128,128,
256,prefix:whitespace:plen10,9.30112131121287,128,138,128,10.0
256,prefix:punctuation:plen10,9.45717055774867,128,138,128,10.0
256,prefix:random_words:plen10,9.63305005221523,128,138,128,10.0
256,prefix:instruction:plen10,9.664289757980047,128,138,128,10.0
256,prefix:whitespace:plen32,10.31293382824824,128,160,128,32.0
256,prefix:punctuation:plen32,9.478786855640369,128,160,128,32.0
256,prefix:random_words:plen32,9.68200642870313,128,160,128,32.0
256,prefix:instruction:plen32,10.01459024929345,128,160,128,32.0
256,prefix:whitespace:plen64,11.093453311804268,128,192,128,64.0
256,prefix:punctuation:plen64,9.503343249381224,128,192,128,64.0
256,prefix:random_words:plen64,9.682992152960031,128,192,128,64.0
256,prefix:instruction:plen64,10.129100527356131,128,192,128,64.0
256,prefix:whitespace:plen128,13.093761891363638,128,256,128,128.0
256,prefix:punctuation:plen128,9.525124129352418,128,256,128,128.0
256,prefix:random_words:plen128,9.710075268196997,128,256,128,128.0
